Index,Date,Open,High,Low,Close,Adj Close,Volume
^FTSE,2020-01-02 00:00:00,7542.39990234375,7624.7998046875,7542.39990234375,7604.2998046875,7604.2998046875,482206700.0
^FTSE,2020-01-03 00:00:00,7604.2998046875,7626.39990234375,7551.0,7622.39990234375,7622.39990234375,475628900.0
^FTSE,2020-01-06 00:00:00,7622.39990234375,7622.39990234375,7528.10009765625,7575.2998046875,7575.2998046875,516783400.0
^FTSE,2020-01-07 00:00:00,7575.2998046875,7604.60009765625,7562.10009765625,7573.89990234375,7573.89990234375,511576100.0
^FTSE,2020-01-08 00:00:00,7573.89990234375,7579.5,7525.0,7574.89990234375,7574.89990234375,606225000.0
^FTSE,2020-01-09 00:00:00,7574.89990234375,7627.7998046875,7574.89990234375,7598.10009765625,7598.10009765625,653838100.0
^FTSE,2020-01-10 00:00:00,7598.10009765625,7632.0,7585.10009765625,7587.89990234375,7587.89990234375,651315600.0
^FTSE,2020-01-13 00:00:00,7587.89990234375,7635.7998046875,7582.5,7617.60009765625,7617.60009765625,659019400.0
^FTSE,2020-01-14 00:00:00,7617.60009765625,7650.7001953125,7588.7998046875,7622.39990234375,7622.39990234375,697648200.0
^FTSE,2020-01-15 00:00:00,7622.39990234375,7642.7998046875,7609.39990234375,7642.7998046875,7642.7998046875,730575200.0
^FTSE,2020-01-16 00:00:00,7642.7998046875,7653.60009765625,7595.2998046875,7609.7998046875,7609.7998046875,573564200.0
^FTSE,2020-01-17 00:00:00,7609.7998046875,7689.7001953125,7609.7998046875,7674.60009765625,7674.60009765625,631970100.0
^FTSE,2020-01-20 00:00:00,7674.60009765625,7682.7998046875,7639.60009765625,7651.39990234375,7651.39990234375,358980900.0
^FTSE,2020-01-21 00:00:00,7651.39990234375,7651.39990234375,7550.5,7610.7001953125,7610.7001953125,656519300.0
^FTSE,2020-01-22 00:00:00,7610.7001953125,7637.39990234375,7563.5,7571.89990234375,7571.89990234375,604636000.0
^FTSE,2020-01-23 00:00:00,7571.89990234375,7572.10009765625,7503.2001953125,7507.7001953125,7507.7001953125,668616300.0
^FTSE,2020-01-24 00:00:00,7507.7001953125,7642.2001953125,7507.60009765625,7586.0,7586.0,605760000.0
^FTSE,2020-01-27 00:00:00,7586.0,7586.0,7392.7998046875,7412.10009765625,7412.10009765625,679457100.0
^FTSE,2020-01-28 00:00:00,7412.10009765625,7491.39990234375,7410.39990234375,7480.7001953125,7480.7001953125,535852000.0
^FTSE,2020-01-29 00:00:00,7480.7001953125,7514.7001953125,7462.2001953125,7483.60009765625,7483.60009765625,525036700.0
^FTSE,2020-01-30 00:00:00,7483.60009765625,7483.60009765625,7357.60009765625,7382.0,7382.0,685501900.0
^FTSE,2020-01-31 00:00:00,7382.0,7398.2998046875,7275.0,7286.0,7286.0,714049600.0
^FTSE,2020-02-03 00:00:00,7286.0,7360.0,7285.2001953125,7326.2998046875,7326.2998046875,645846700.0
^FTSE,2020-02-04 00:00:00,7326.2998046875,7442.10009765625,7326.2998046875,7439.7998046875,7439.7998046875,696703600.0
^FTSE,2020-02-05 00:00:00,7439.7998046875,7512.39990234375,7408.5,7482.5,7482.5,818911400.0
^FTSE,2020-02-06 00:00:00,7482.5,7533.60009765625,7482.5,7504.7998046875,7504.7998046875,673947900.0
^FTSE,2020-02-07 00:00:00,7504.7998046875,7506.2998046875,7441.10009765625,7466.7001953125,7466.7001953125,705974200.0
^FTSE,2020-02-10 00:00:00,7466.7001953125,7466.7001953125,7427.89990234375,7446.89990234375,7446.89990234375,612817500.0
^FTSE,2020-02-11 00:00:00,7446.89990234375,7529.5,7446.89990234375,7499.39990234375,7499.39990234375,700689800.0
^FTSE,2020-02-12 00:00:00,7499.39990234375,7547.7001953125,7499.0,7534.39990234375,7534.39990234375,573044200.0
^FTSE,2020-02-13 00:00:00,7534.39990234375,7534.39990234375,7406.89990234375,7452.0,7452.0,823565400.0
